date,month,mon_rain_sum,max_temp_mean,min_temp_mean,radiation_mean,rh_tmax_mean,rh_tmin_mean,SOI,NINO 12,NINO 3,NINO 3.4,NINO 4,DMI,PDO
1921/1/1,1,336,32.09354839,24.77419355,16.60322581,65.3483871,98.77741935,10.8,-0.442339,0.30336,0.490091,-5.74E-02,-0.1191094,-0.66
1921/2/1,2,346.3,31.55,24.54642857,15.13214286,67.78571429,99.675,6.7,-0.510237,-0.229834,-0.499174,-0.510563,0.0109,-0.61
1921/3/1,3,329.6,31.49354839,24.4483871,16.10967742,67.86774194,99.89032258,8.9,-0.558844,-1.09438,-1.37206,-0.94342,0.0792,-0.01
1921/4/1,4,36.3,33.10333333,23.32666667,19.4,52.25,91.96666667,-7.1,-0.939302,-0.593195,-0.481306,-0.259726,0.00133,-0.93
1921/5/1,5,0.6,32.68064516,22.70645161,18.49677419,50.68064516,90.16774194,2.1,-0.750797,-0.841282,-0.841772,-0.678158,0.1649673,-0.42
1921/6/1,6,14.7,31.3,21.12666667,18.14,44.88333333,81.32333333,22,-0.804804,-0.136385,-0.119942,-0.477247,-0.016,0.4
1921/7/1,7,0,30.6516129,19.00322581,19.52903226,40.60645161,81.17741935,2.9,-0.82933,-0.201578,-0.155571,-0.291578,-0.1401888,-0.58
1921/8/1,8,0,31.43870968,19.67096774,21.26451613,44.18709677,87.88709677,-6.9,-1.13954,-0.595613,-0.211796,2.17E-02,-0.6380855,-0.69
1921/9/1,9,27.5,32.91333333,22.63666667,22.37,51.77666667,93.99666667,5.1,-1.24645,-0.411098,-0.113113,-0.225754,-0.1735393,-0.78
1921/10/1,10,52,34.08064516,24.68064516,22.64516129,51.94193548,89.21612903,9.7,-0.413607,-2.55E-02,8.86E-02,-4.33E-02,-0.1098155,-0.23
1921/11/1,11,51.6,33.94666667,25.52666667,20.99666667,56.64666667,91.91333333,8.5,-0.412134,-0.898626,-0.973114,-0.531216,-0.2278799,1.92
1921/12/1,12,197.4,33.07419355,25.4516129,17.91935484,60.95806452,94.50967742,8.2,-0.617916,-0.819931,-0.494837,-4.29E-02,-0.1621205,1.42
1922/1/1,1,616.3,32.28709677,25.09677419,16.67419355,64.49032258,96.54193548,8,-0.817869,-0.686241,-0.495909,-0.339909,-0.2047784,1.05
1922/2/1,2,288.1,31.73571429,24.86071429,15.70714286,66.93214286,97.61428571,9.1,0.440233,-3.50E-02,-5.43E-02,8.65E-02,-0.0215,-0.85
1922/3/1,3,519.3,31.82258065,24.53870968,17.17419355,65.80967742,98.8516129,5.6,-0.338234,-0.102131,0.129971,0.11451,0.2392289,0.08
1922/4/1,4,119.8,33.37,24.01666667,19.78,56.01,95.95333333,-5.5,-0.322943,-0.433146,-0.474915,-0.300045,-0.1995244,0.43
1922/5/1,5,5.3,32.03548387,22.16129032,18.70645161,45.65806452,81.28709677,-5.1,-0.493107,-8.19E-02,0.305887,9.17E-02,-0.1691007,-0.19
1922/6/1,6,0,30.62,19.5,18.6,43.16333333,83.21666667,5.8,-1.17721,-0.610874,-0.349163,-0.318098,0.1294186,-1.04
1922/7/1,7,0,29.85483871,18.2,19.87096774,40.18064516,79.6483871,2.2,-1.33212,-0.751087,-0.32942,5.11E-02,-0.2472088,-0.82
1922/8/1,8,0,31.08709677,18.51935484,22.16129032,42.87419355,90.76451613,-1.2,-1.28188,-1.1909,-0.709595,-0.232677,-0.1218965,-0.93
1922/9/1,9,0,32.69,22.16,23.17666667,49.91,92.30333333,5.1,-1.26026,-0.803377,-0.324694,-0.219864,-0.1369773,-0.81
1922/10/1,10,64.7,33.54193548,24.3483871,22.21935484,54.47096774,92.07419355,6.1,-0.883356,-0.407169,-0.201403,-0.316513,-0.1645756,0.84
1922/11/1,11,79.5,34.29666667,25.09333333,21.53333333,54.76333333,92.63,8.5,-1.4269,-0.819157,-0.248545,-0.136555,-0.2912199,-0.6
