,sort_feat_name,sort_feat_x_name,sort_feat_shap,sort_feat_index
0,min_temp_mean,X3,93.38761884502036,2
1,mon_rain_sum,X1,92.88156594231569,0
2,rh_tmax_mean,X5,65.34563235973285,4
3,max_temp_mean,X2,44.17815062992304,1
4,SOI,X7,40.05433961137646,6
5,NINO 4,X11,36.89465727237257,10
6,PDO,X13,32.4265186482019,12
7,rh_tmin_mean,X6,32.40115956585724,5
8,radiation_mean,X4,32.138776266885465,3
9,NINO 3,X9,29.05297645511605,8
10,NINO 3.4,X10,26.563379790268435,9
11,NINO 12,X8,24.20049617862176,7
12,DMI,X12,17.92714846962153,11
