,sort_shap_score,sort_shap_feat_name,sort_shap_x_name
0,20.62422085253712,mon_rain_sum_t-12,X1_t-12
1,20.283357447654616,mon_rain_sum_t-11,X1_t-11
2,13.144694048721691,min_temp_mean_t-14,X3_t-14
3,12.633702838305553,min_temp_mean_t-13,X3_t-13
4,12.564195850934105,min_temp_mean_t-18,X3_t-18
5,12.556291124751251,mon_rain_sum_t-10,X1_t-10
6,12.0474459583505,min_temp_mean_t-19,X3_t-19
7,12.02548801388774,min_temp_mean_t-17,X3_t-17
8,11.820793054861165,SOI_t-11,X7_t-11
9,11.61297631399143,max_temp_mean_t-15,X2_t-15
10,11.341715544154532,rh_tmax_mean_t-12,X5_t-12
11,10.92641335384833,NINO 4_t-11,X11_t-11
12,10.407456633842,rh_tmax_mean_t-19,X5_t-19
13,10.272525955767017,min_temp_mean_t-15,X3_t-15
14,10.166239135952445,mon_rain_sum_t-13,X1_t-13
15,9.76947440456762,rh_tmax_mean_t-13,X5_t-13
16,9.670071651658365,max_temp_mean_t-14,X2_t-14
17,9.607020051828664,NINO 4_t-12,X11_t-12
18,9.54298700802088,mon_rain_sum_t-17,X1_t-17
19,9.35063268333445,rh_tmax_mean_t-11,X5_t-11
20,9.26165172458584,SOI_t-10,X7_t-10
21,9.090467059081261,min_temp_mean_t-12,X3_t-12
22,8.917541898059087,rh_tmax_mean_t-18,X5_t-18
23,8.639531558611967,radiation_mean_t-15,X4_t-15
24,8.278683015531836,radiation_mean_t-13,X4_t-13
25,8.271147089117935,PDO_t-15,X13_t-15
26,8.030339084471695,max_temp_mean_t-18,X2_t-18
27,7.978899239415009,radiation_mean_t-17,X4_t-17
28,7.720657679131446,max_temp_mean_t-16,X2_t-16
29,7.7201825225295995,NINO 3_t-12,X9_t-12
30,7.717065522760716,radiation_mean_t-12,X4_t-12
31,7.563035846706579,mon_rain_sum_t-18,X1_t-18
32,7.5528850710473945,radiation_mean_t-16,X4_t-16
33,7.482289077938662,NINO 4_t-13,X11_t-13
34,7.373630653298122,NINO 3_t-13,X9_t-13
35,7.310755729614796,max_temp_mean_t-17,X2_t-17
36,7.27022459251533,SOI_t-12,X7_t-12
37,7.264224246239337,max_temp_mean_t-19,X2_t-19
38,7.249604880061119,min_temp_mean_t-16,X3_t-16
39,7.189554420887392,mon_rain_sum_t-16,X1_t-16
40,7.151140785653563,PDO_t-14,X13_t-14
41,6.938922317948289,SOI_t-13,X7_t-13
42,6.85745400237105,min_temp_mean_t-11,X3_t-11
43,6.708401953632357,PDO_t-16,X13_t-16
44,6.674001019134861,rh_tmin_mean_t-10,X6_t-10
45,6.624998378639582,SOI_t-14,X7_t-14
46,6.518564248590293,SOI_t-15,X7_t-15
47,6.513256742521265,mon_rain_sum_t-15,X1_t-15
48,6.390861427839105,NINO 4_t-10,X11_t-10
49,6.3677269181047285,NINO 3.4_t-12,X10_t-12
50,6.363087449483514,rh_tmax_mean_t-17,X5_t-17
51,6.327580241272149,radiation_mean_t-14,X4_t-14
52,6.323228021063899,NINO 4_t-14,X11_t-14
53,6.316852087257787,mon_rain_sum_t-14,X1_t-14
54,6.214115016676901,rh_tmax_mean_t-14,X5_t-14
55,6.05743468525435,NINO 3.4_t-13,X10_t-13
56,5.976899780953564,PDO_t-17,X13_t-17
57,5.927621599815754,rh_tmin_mean_t-11,X6_t-11
58,5.821274953132128,NINO 4_t-19,X11_t-19
59,5.769116130829439,SOI_t-18,X7_t-18
60,5.686081957052113,mon_rain_sum_t-19,X1_t-19
61,5.616599876355987,NINO 3_t-14,X9_t-14
62,5.487589408684407,NINO 3_t-11,X9_t-11
63,5.406841047446009,SOI_t-19,X7_t-19
64,5.338328732565525,PDO_t-18,X13_t-18
65,5.286091392288464,max_temp_mean_t-13,X2_t-13
66,5.25937810838612,PDO_t-12,X13_t-12
67,5.248421448451814,PDO_t-13,X13_t-13
68,5.209439764499865,radiation_mean_t-11,X4_t-11
69,5.205038727170268,PDO_t-10,X13_t-10
70,5.192078229707809,SOI_t-17,X7_t-17
71,5.191932843762572,NINO 4_t-18,X11_t-18
72,5.039896010954673,PDO_t-19,X13_t-19
73,5.0330186481838535,PDO_t-11,X13_t-11
74,5.029873389840713,NINO 3.4_t-16,X10_t-16
75,5.0000383203524805,NINO 4_t-15,X11_t-15
76,4.856344013067696,NINO 3.4_t-14,X10_t-14
77,4.7938811470192775,NINO 3.4_t-15,X10_t-15
78,4.793437134436773,DMI_t-10,X12_t-10
79,4.7427574351173964,SOI_t-16,X7_t-16
80,4.6842443064795125,NINO 12_t-19,X8_t-19
81,4.6633197863539,NINO 4_t-17,X11_t-17
82,4.646501143842457,mon_rain_sum_t-8,X1_t-8
83,4.512991674873961,DMI_t-15,X12_t-15
84,4.504026471107172,mon_rain_sum_t-9,X1_t-9
85,4.476666757102872,rh_tmin_mean_t-19,X6_t-19
86,4.4396268762674564,rh_tmax_mean_t-15,X5_t-15
87,4.413417979984223,rh_tmin_mean_t-18,X6_t-18
88,4.385133254199029,NINO 3.4_t-11,X10_t-11
89,4.348092907737747,NINO 4_t-16,X11_t-16
90,4.337978204303586,NINO 3_t-19,X9_t-19
91,4.319626753722908,NINO 12_t-13,X8_t-13
92,4.288601437639325,rh_tmin_mean_t-17,X6_t-17
93,4.280304719621769,NINO 3.4_t-17,X10_t-17
94,4.278371199243848,NINO 12_t-17,X8_t-17
95,4.244590641034362,NINO 3_t-15,X9_t-15
96,4.214433209835056,NINO 3.4_t-19,X10_t-19
97,4.208816161553971,NINO 3_t-18,X9_t-18
98,4.207136928521685,NINO 12_t-18,X8_t-18
99,4.137816284140873,NINO 3_t-17,X9_t-17
100,4.137047171103174,DMI_t-11,X12_t-11
101,4.088276939078702,NINO 12_t-14,X8_t-14
102,4.0850107270710465,radiation_mean_t-10,X4_t-10
103,4.021398611942837,NINO 12_t-16,X8_t-16
104,4.016005063342913,NINO 3.4_t-18,X10_t-18
105,4.007018865662194,NINO 3_t-16,X9_t-16
106,3.971996926764404,rh_tmax_mean_t-10,X5_t-10
107,3.9511002025213804,DMI_t-16,X12_t-16
