,0
0,525.8
1,194.3
2,443.9
3,525.8
4,443.9
5,130.3
6,443.8
7,95.9
8,483.9
9,303.9
10,194.2
11,405.9
12,405.9
13,336.0
14,336.0
15,336.0
16,616.3
17,525.9
18,508.4
19,550.9
20,241.9
21,333.8
22,239.6
23,287.3
24,233.3
25,171.2
26,208.8
27,593.0
28,198.6
29,317.2
30,465.5
31,460.3
32,205.5
33,344.7
34,564.0
35,173.1
36,442.5
37,568.1
38,263.2
39,571.0
40,310.6
41,319.3
42,136.1
43,432.7
44,434.2
45,547.9
46,374.1
47,220.2
48,388.7
49,230.1
50,536.0
51,746.8
52,336.6
53,531.6
54,532.8
55,508.4
56,444.2
57,694.0
58,905.8
59,644.0
60,216.0
61,418.6
62,281.4
63,660.4
64,607.2
65,233.4
66,267.8
67,305.0
68,922.2
69,318.6
70,494.8
71,277.6
72,940.4
73,292.4
74,670.0
75,788.6
76,360.2
77,441.2
78,262.8
79,147.6
80,466.2
81,460.8
82,408.0
83,410.0
84,206.8
85,515.2
86,411.0
87,630.2
88,627.2
89,459.2
90,219.8
91,608.6
92,484.6
93,169.8
94,470.6
95,893.0
96,362.0
97,402.4
