,sort_feat_name,sort_feat_x_name,sort_feat_shap,sort_feat_index
0,radiation_mean,X4,75.61454716965287,3
1,max_temp_mean,X2,20.725396698298198,1
2,rh_tmin_mean,X6,16.37098712854164,5
3,rh_tmax_mean,X5,12.085811133132653,4
4,min_temp_mean,X3,11.472626882765846,2
5,NINO 4,X11,11.321207737672408,10
6,NINO 3,X9,9.851226020374417,8
7,mon_rain_sum,X1,9.653691806348325,0
8,SOI,X7,9.196047875843629,6
9,NINO 3.4,X10,7.784794255243519,9
10,PDO,X13,7.689658757329662,12
11,NINO 12,X8,5.041467704974647,7
12,DMI,X12,4.184191686160687,11
