,sort_shap_score,sort_shap_feat_name,sort_shap_x_name
0,21.06273195902358,radiation_mean_t-12,X4_t-12
1,14.60471065775717,radiation_mean_t-13,X4_t-13
2,12.674544797054569,radiation_mean_t-11,X4_t-11
3,12.04143642083555,radiation_mean_t-18,X4_t-18
4,9.08784206381448,max_temp_mean_t-12,X2_t-12
5,8.563737002041771,radiation_mean_t-17,X4_t-17
6,7.849679341178418,max_temp_mean_t-15,X2_t-15
7,7.836429593202851,max_temp_mean_t-11,X2_t-11
8,5.32541968553069,max_temp_mean_t-14,X2_t-14
9,5.305215249178268,radiation_mean_t-16,X4_t-16
10,5.27133759722824,mon_rain_sum_t-12,X1_t-12
11,5.105318298919792,max_temp_mean_t-13,X2_t-13
12,4.773188088025479,min_temp_mean_t-18,X3_t-18
13,4.422537804771717,rh_tmin_mean_t-18,X6_t-18
14,4.308596946304394,rh_tmax_mean_t-18,X5_t-18
15,4.2012915329015605,mon_rain_sum_t-13,X1_t-13
16,4.026399601063066,rh_tmin_mean_t-17,X6_t-17
17,3.9255665645307833,max_temp_mean_t-16,X2_t-16
18,3.858472448309828,rh_tmin_mean_t-15,X6_t-15
19,3.803406016449753,radiation_mean_t-14,X4_t-14
20,3.7510384796624847,mon_rain_sum_t-15,X1_t-15
21,3.740324354152845,PDO_t-12,X13_t-12
22,3.7276873185879875,radiation_mean_t-10,X4_t-10
23,3.532802186211993,min_temp_mean_t-17,X3_t-17
24,3.526819448335634,NINO 4_t-18,X11_t-18
25,3.465027803170167,radiation_mean_t-15,X4_t-15
26,3.316508907707296,max_temp_mean_t-10,X2_t-10
27,3.222834038789805,rh_tmin_mean_t-16,X6_t-16
28,3.2097685168150685,mon_rain_sum_t-14,X1_t-14
29,3.1788793633202133,rh_tmin_mean_t-14,X6_t-14
30,3.1452600730118023,max_temp_mean_t-18,X2_t-18
31,3.141463855772017,PDO_t-13,X13_t-13
32,3.0557828697567464,mon_rain_sum_t-16,X1_t-16
33,3.034108911213622,rh_tmax_mean_t-12,X5_t-12
34,2.98590270919824,min_temp_mean_t-16,X3_t-16
35,2.973559421663742,mon_rain_sum_t-11,X1_t-11
36,2.9227673769844538,rh_tmax_mean_t-17,X5_t-17
37,2.83103476057828,min_temp_mean_t-15,X3_t-15
38,2.7961197033599756,max_temp_mean_t-17,X2_t-17
39,2.751485798611218,rh_tmax_mean_t-13,X5_t-13
40,2.7493505583163547,rh_tmax_mean_t-15,X5_t-15
41,2.5927983729155524,SOI_t-16,X7_t-16
42,2.4971545139332036,rh_tmin_mean_t-13,X6_t-13
43,2.4038304423605736,NINO 3_t-18,X9_t-18
44,2.3635088045656407,rh_tmax_mean_t-14,X5_t-14
45,2.352015912938943,SOI_t-17,X7_t-17
46,2.219534174297451,rh_tmax_mean_t-16,X5_t-16
47,2.1995555319843954,NINO 3_t-16,X9_t-16
48,2.193676846439517,NINO 3.4_t-18,X10_t-18
49,2.0410562069178555,NINO 3.4_t-17,X10_t-17
50,2.035339791482737,SOI_t-15,X7_t-15
51,1.9658751759695507,rh_tmin_mean_t-12,X6_t-12
52,1.9640309822110664,NINO 3_t-17,X9_t-17
53,1.945179741686473,PDO_t-18,X13_t-18
54,1.9318867710330492,NINO 4_t-17,X11_t-17
55,1.9258749704932854,rh_tmax_mean_t-11,X5_t-11
56,1.9126050779737447,rh_tmin_mean_t-11,X6_t-11
57,1.906549513337891,NINO 3_t-15,X9_t-15
58,1.901797673896036,SOI_t-14,X7_t-14
59,1.8411072748759358,NINO 4_t-16,X11_t-16
60,1.808112791436354,NINO 4_t-15,X11_t-15
61,1.7983897193204823,NINO 3.4_t-16,X10_t-16
62,1.7982727600145085,SOI_t-13,X7_t-13
63,1.7888372444602787,SOI_t-18,X7_t-18
64,1.6567204701574707,NINO 4_t-11,X11_t-11
65,1.6038069022875494,NINO 4_t-14,X11_t-14
66,1.5664419493870636,min_temp_mean_t-14,X3_t-14
67,1.5307761245242448,mon_rain_sum_t-17,X1_t-17
68,1.5133227752507716,PDO_t-11,X13_t-11
69,1.445216912504015,PDO_t-16,X13_t-16
70,1.4413075249525062,NINO 4_t-13,X11_t-13
71,1.4411097226702936,PDO_t-14,X13_t-14
72,1.4097739309858754,rh_tmin_mean_t-10,X6_t-10
73,1.3919894443265683,NINO 3_t-12,X9_t-12
74,1.3604460900541675,mon_rain_sum_t-18,X1_t-18
75,1.3555850293484157,min_temp_mean_t-13,X3_t-13
76,1.3526317469223594,min_temp_mean_t-12,X3_t-12
77,1.3463528779209921,PDO_t-15,X13_t-15
78,1.3391980792235274,NINO 4_t-12,X11_t-12
79,1.3308381939402447,NINO 3_t-13,X9_t-13
80,1.3164516742969132,NINO 3.4_t-15,X10_t-15
81,1.315746968309504,SOI_t-12,X7_t-12
82,1.2708000151524155,NINO 3_t-14,X9_t-14
83,1.2691433526598521,PDO_t-17,X13_t-17
84,1.2590426544384337,NINO 12_t-18,X8_t-18
85,1.2433589011517696,NINO 3_t-11,X9_t-11
86,1.2126673704544981,min_temp_mean_t-11,X3_t-11
87,1.2037725555371805,rh_tmax_mean_t-10,X5_t-10
88,1.176571711831755,max_temp_mean_t-9,X2_t-9
89,1.1204641769296086,NINO 4_t-10,X11_t-10
90,1.1028911000532178,radiation_mean_t-9,X4_t-9
91,1.05270488432995,mon_rain_sum_t-10,X1_t-10
92,0.9996620157411065,NINO 12_t-17,X8_t-17
93,0.9582361396865807,SOI_t-11,X7_t-11
94,0.957373973697295,NINO 12_t-14,X8_t-14
95,0.9072620125661452,DMI_t-12,X12_t-12
96,0.867045139360249,NINO 12_t-13,X8_t-13
97,0.8546304491896928,NINO 12_t-12,X8_t-12
98,0.8408342516029661,DMI_t-18,X12_t-18
99,0.8296910161777136,NINO 12_t-15,X8_t-15
100,0.8281707124655894,rh_tmin_mean_t-9,X6_t-9
101,0.8141828857702483,NINO 12_t-16,X8_t-16
102,0.7847760173157345,NINO 3_t-10,X9_t-10
103,0.7741461517712006,DMI_t-11,X12_t-11
104,0.7314705782908851,NINO 12_t-11,X8_t-11
105,0.7299181765423723,DMI_t-13,X12_t-13
106,0.7268584446813169,PDO_t-10,X13_t-10
107,0.7003825394729498,NINO 3.4_t-14,X10_t-14
108,0.6966503910771045,DMI_t-16,X12_t-16
109,0.6965040306986705,NINO 3.4_t-11,X10_t-11
110,0.6806696113205296,NINO 3.4_t-12,X10_t-12
111,0.6659968567012544,NINO 3.4_t-13,X10_t-13
112,0.6430397236026933,SOI_t-10,X7_t-10
113,0.6296921734936034,DMI_t-17,X12_t-17
114,0.6074758586218675,radiation_mean_t-8,X4_t-8
115,0.5903842911662177,DMI_t-14,X12_t-14
116,0.5878983908447958,DMI_t-15,X12_t-15
117,0.5796541340483015,rh_tmin_mean_t-8,X6_t-8
118,0.5719482143724837,rh_tmax_mean_t-9,X5_t-9
119,0.5507657298441038,min_temp_mean_t-10,X3_t-10
120,0.5447784951003071,NINO 4_t-9,X11_t-9
121,0.5386818657611507,NINO 12_t-10,X8_t-10
122,0.48150851136050793,DMI_t-10,X12_t-10
123,0.4579017050722731,NINO 3.4_t-10,X10_t-10
124,0.4464414409776352,NINO 3_t-9,X9_t-9
125,0.4347843159053954,max_temp_mean_t-8,X2_t-8
126,0.42614104797250973,PDO_t-7,X13_t-7
127,0.4232427459434187,PDO_t-9,X13_t-9
128,0.3943456653994026,NINO 4_t-8,X11_t-8
129,0.3716693558713866,rh_tmin_mean_t-7,X6_t-7
130,0.3306935819296485,NINO 3.4_t-9,X10_t-9
131,0.3292435939178589,PDO_t-8,X13_t-8
132,0.32639195548269123,mon_rain_sum_t-9,X1_t-9
133,0.3120393580082356,min_temp_mean_t-9,X3_t-9
134,0.3059704310826464,SOI_t-9,X7_t-9
135,0.3030717915259032,radiation_mean_t-7,X4_t-7
136,0.30062800983577614,mon_rain_sum_t-7,X1_t-7
137,0.29517827199901703,NINO 12_t-9,X8_t-9
138,0.2895797460125269,DMI_t-9,X12_t-9
139,0.271505071121384,rh_tmax_mean_t-8,X5_t-8
140,0.27037714082400727,NINO 3_t-8,X9_t-8
141,0.2601835483018356,mon_rain_sum_t-8,X1_t-8
142,0.2555491146906959,NINO 3.4_t-8,X10_t-8
143,0.2256423742030166,min_temp_mean_t-7,X3_t-7
144,0.22202924406203753,min_temp_mean_t-8,X3_t-8
145,0.20233186825430638,SOI_t-7,X7_t-7
146,0.19144216112726858,rh_tmax_mean_t-7,X5_t-7
147,0.18749051851621462,NINO 4_t-7,X11_t-7
148,0.17404120905488488,NINO 3.4_t-7,X10_t-7
149,0.17221089890812005,NINO 12_t-8,X8_t-8
150,0.17141221978714466,SOI_t-8,X7_t-8
151,0.16419911105196977,DMI_t-8,X12_t-8
152,0.15741215095461603,max_temp_mean_t-7,X2_t-7
153,0.13027134831548504,NINO 3_t-7,X9_t-7
154,0.10610468119842457,NINO 12_t-7,X8_t-7
155,0.08923151002540268,DMI_t-7,X12_t-7
