date,month,mon_rain_sum,max_temp_mean,min_temp_mean,radiation_mean,rh_tmax_mean,rh_tmin_mean,SOI,NINO 12,NINO 3,NINO 3.4,NINO 4,DMI,PDO
1921/1/1,1,1.1,30.16774194,17.77741935,25.49677419,38.28064516,77.45806452,10.8,-0.442339,0.30336,0.490091,-5.74E-02,-0.1191094,-0.66
1921/2/1,2,39.4,33.7,21.14285714,22.68928571,35.2,71.86428571,6.7,-0.510237,-0.229834,-0.499174,-0.510563,0.0109,-0.61
1921/3/1,3,24.2,30.27419355,17.90645161,20.70645161,38.91612903,79.50322581,8.9,-0.558844,-1.09438,-1.37206,-0.94342,0.0792,-0.01
1921/4/1,4,21.1,24.57666667,13.92666667,15.27666667,48.29,89.54333333,-7.1,-0.939302,-0.593195,-0.481306,-0.259726,0.00133,-0.93
1921/5/1,5,268.2,20.60967742,13.20322581,9.44516129,60.87096774,94.51612903,2.1,-0.750797,-0.841282,-0.841772,-0.678158,0.1649673,-0.42
1921/6/1,6,165.2,19.19,10.97333333,9.256666667,58.08333333,94.71333333,22,-0.804804,-0.136385,-0.119942,-0.477247,-0.016,0.4
1921/7/1,7,187.8,18.38064516,11.37419355,9.6,58.4,89.82580645,2.9,-0.82933,-0.201578,-0.155571,-0.291578,-0.1401888,-0.58
1921/8/1,8,93.6,18.70645161,9.14516129,13.17096774,55.1516129,94.65483871,-6.9,-1.13954,-0.595613,-0.211796,2.17E-02,-0.6380855,-0.69
1921/9/1,9,135.8,18.61333333,9.54,16.7,56.64666667,96.55666667,5.1,-1.24645,-0.411098,-0.113113,-0.225754,-0.1735393,-0.78
1921/10/1,10,66.6,20.83225806,11.19677419,21.2,53.83870968,94.58064516,9.7,-0.413607,-2.55E-02,8.86E-02,-4.33E-02,-0.1098155,-0.23
1921/11/1,11,21.5,23.15666667,13.06,24.76666667,48.49333333,89.66333333,8.5,-0.412134,-0.898626,-0.973114,-0.531216,-0.2278799,1.92
1921/12/1,12,19.8,29.22258065,17.52258065,25.18387097,40.37096774,80.72903226,8.2,-0.617916,-0.819931,-0.494837,-4.29E-02,-0.1621205,1.42
1922/1/1,1,2.6,27.92258065,16.45483871,26.46129032,43.27096774,85.02580645,8,-0.817869,-0.686241,-0.495909,-0.339909,-0.2047784,1.05
1922/2/1,2,5.4,29.02142857,16.82142857,23.88214286,42.50357143,86.275,9.1,0.440233,-3.50E-02,-5.43E-02,8.65E-02,-0.0215,-0.85
1922/3/1,3,4.8,28.51290323,16.58709677,20.47419355,42.64193548,83.71935484,5.6,-0.338234,-0.102131,0.129971,0.11451,0.2392289,0.08
1922/4/1,4,68.7,24.37666667,12.94,14.40333333,50.35333333,94.74666667,-5.5,-0.322943,-0.433146,-0.474915,-0.300045,-0.1995244,0.43
1922/5/1,5,161.9,20.36774194,10.10967742,11.11612903,54.26451613,97.20645161,-5.1,-0.493107,-8.19E-02,0.305887,9.17E-02,-0.1691007,-0.19
1922/6/1,6,104,17.57,9.13,9.126666667,61.17666667,96.23333333,5.8,-1.17721,-0.610874,-0.349163,-0.318098,0.1294186,-1.04
1922/7/1,7,188.3,16.14516129,7.54516129,9.5,61.04516129,97.48064516,2.2,-1.33212,-0.751087,-0.32942,5.11E-02,-0.2472088,-0.82
1922/8/1,8,132.3,18.10967742,9.532258065,12.80967742,57.8483871,95.73870968,-1.2,-1.28188,-1.1909,-0.709595,-0.232677,-0.1218965,-0.93
1922/9/1,9,55.6,19.08333333,9.47,16.61666667,56.29,97.34666667,5.1,-1.26026,-0.803377,-0.324694,-0.219864,-0.1369773,-0.81
